389 directory server
activemq
alfresco community
amavisd-new
angularjs
ansible
ant
antlr
apache commons
apache directory
apache hadoop
apache http server
apache kafka
apache oozie
apache ranger
apache spark
apache superset
apache tez
apache xml security
asqatasun
audit
awstats
awx
axis
bacula
bareos
bigbluebutton
bootstrap
bouncycastle
bugzilla
c-icap
cargo
castor
centreon
cglib
clamav
cobbler
collabora online
cups
cyrus imap
datafaris
datalift
dbunit
display tag
docker
dojo
dom4j
dovecot
drbd
drbdlinks
driver jdbc pour postgresql
drools expert
drupal-core
dspace
eclipse
ehcache
elasticsearch
explorer++
filezilla client
filezilla serveur
firebird
firefox
fluentd
fop
fpdf
fpdi
framadate
freeradius
func
fusion forge
fusion inventory
ganttproject
gatling
geoserver
gfs2
git
gitlab
glibc
glpi
gnucobol
gnupg
grafana
gravitee
gridlex
grr
gunicorn
haproxy
havp
heartbeat
hibernate
horde
ibatis
imagemagick
influxdb
information system designer
intellij
isc bind
isc dhcp
itext
jasperreports
jasperstudio
jax-ws ri
jaxen
jaxrpc
jboss
jenkins
jersey
jfrog artifactory
jmeter
joget
joomla !
jquery ui
jsch
jstl
junit
kali linux
kanboard
keepalived
keepass
keycloak
kubernetes
lemonldap::ng
libnss-pgsql
libpcap
libreoffice
libvirt
limesurvey
linstor
log4j
logback
logrotate
logstash
lucene
lvm
lvs (linux virtual server) / ipvsadm
maarch courrier
maarch rm
mantis
mariadb
matomo (ex. piwik)
maven et plugins
mbeanmonitor
mediawiki
memcached
metabase
metricbeat
metrics
minio
mit kerberos
mongodb
moodle
mpdf
mx4j
myfaces
mysql
nagios
nats.io
neo4j
neo4j-ogm
nextcloud
nexus
nfs
nginx
nmap
nodejs
noyau centos
noyau debian
noyau ubuntu
nss_ldap
ntp
nvda
ocs inventory ng
open jdk
opendkim
opendmarc
openfire (anciennement wildfire)
openldap
opennebula
opensc
opensearchserver
openssh (dont sftp server)
openssl
opensta
openvpn
openvswitch
ora2pg
osworkflow
owasp csrf guard
owasp java html sanitizer
papyrus
passbolt ce
pdftk
peertube
pentaho ce
perl
petals
pgadmin
php
phpbb
phpmyadmin
pmd
portainer
postfix
postgresql
primeface
prodftpd
projectlibre
promotheus
proxmox backup server
proxmox ve
publik
pulseaudio
puppet
putty
pyspf
python
qgis
quartz
r
rabbitmq-server
rancher
redis
redmine
regexp
repmgr
rocketchat
roundcube
rrdtool
rshiny
rspamd
rstudio
rsync
rsyslog
rundeck
saaj
sabredav
samba
scenari
scenari greffons
selenium plugin
sendmail
servicemix
shorewall
sl4j
slony-i
smarty
snaketail
snort
soapui
sogo
solr
sonar
spamassassin
spip
spring boot
spring framework
squash tm
squid
squidguard
squirrel sql
statusnet
struts 1
struts 2
stunnel
suitecrm
sumatra
suricata
svn
symfony
sympa
syslog-ng
sysstat (sar & isag)
talend open studio
tanaguru
tcpdump
testlink
tftp-server
the hive
thunderbird
tomcat
torque
tortoise svn
truenas core
ultravnc
varnish
vault
veyon
virt-manager
vsftpd
webmin
wekan
winpt
winscp3
wordpress
wsdl4j
wso2 api management
xades4j
xalan-java
xdoclet
xerces2 java
xml graphics common
xmlbeans
xmlsec
xmltask
xrdp
xwiki
z-push
zabbix
zammad
zend engine
zookeeper
